S,T,M,F,W,TM,CO,C,
"0,000000003",27000000,"1295,20356",2337000000,"0,00000007",103,12,"0,6765238393",
"0,00000001",27000000,"1354,092351",1521000000,"0,000000017",222,17,"0,03751864267",
"0,000000002",31000000,"1038,568084",1145000000,"0,000000014",261,77,"0,0007107005377",
"0,00000001",29000000,"1093,978698",2390000000,"0,000000008",112,22,"0,007838923194",
"0,000000019",32000000,"1086,841059",2237000000,"0,000000025",291,54,"0,4858154355",
"0,000000018",35000000,"1306,791944",2008000000,"0,0000001",216,83,"51,73120893",
"0,000000006",36000000,"1383,055196",1037000000,"0,000000048",286,85,"10,91400534",
"0,000000001",29000000,"1372,078933",1426000000,"0,000000005",33,36,"0,1588324279",
"0,000000013",30000000,"1406,969965",1604000000,"0,000000045",94,71,"0,001380839032",
"0,00000001",22000000,"1208,949218",1958000000,"0,000000029",186,28,"0,0007291764162",
"0,000000016",31000000,"1383,61166",1832000000,"0,000000084",17,54,"221,5699824",
"0,000000019",33000000,"1468,021826",1397000000,"0,000000029",195,82,"310,1404877",
"0,000000002",32000000,"1246,372946",1665000000,"0,000000059",166,25,"3,139502838",
"0,000000002",27000000,"1296,220705",2301000000,"0,000000017",179,52,"0,0001869318978",
"0,00000001",30000000,"1288,41551",1096000000,"0,000000084",157,97,"0,0007397905854",
"0,000000004",26000000,"1351,102216",2343000000,"0,000000067",114,42,"0,003708645386",
"0,000000009",31000000,"1114,023407",1370000000,"0,000000052",177,12,"45,668098",
"0,000000001",26000000,"1355,902103",2165000000,"0,000000004",96,46,"0,1898560848",
"0,000000019",29000000,"1154,343185",2348000000,"0,000000084",43,13,"0,003030788887",
"0,000000018",20000000,"1166,941855",1197000000,"0,000000012",20,80,"0,1091912026",
"0,000000001",22000000,"1417,450688",1011000000,"0,000000032",21,77,"10,89875127",
"0,000000013",38000000,"1493,798092",2012000000,"0,000000072",30,53,"0,002760631976",
"0,000000004",29000000,"1399,049682",2276000000,"0,000000034",143,58,"0,04856943241",
"0,000000004",39000000,"1124,890674",2302000000,"0,00000002",165,24,"66,91491419",
"0,000000011",24000000,"1230,789522",2003000000,"0,000000074",188,65,"0,00796577071",
"0,000000013",25000000,"1079,872459",2239000000,"0,00000004",17,63,"0,0002408665949",
"0,000000017",34000000,"1301,958965",2340000000,"0,000000045",51,56,"468,7219442",
"0,000000011",24000000,"1231,2079",2271000000,"0,000000088",185,14,"0,04044928998",
"0,000000013",38000000,"1066,25183",1958000000,"0,000000079",72,40,"4,450564867",
"0,000000014",40000000,"1314,221628",2269000000,"0,000000074",215,17,"0,002293499845",
"0,000000005",21000000,"1167,802914",2127000000,"0,000000004",116,52,"0,000588677122",
"0,000000009",33000000,"1214,107666",1445000000,"0,000000091",59,27,"0,03993987332",
"0,000000001",34000000,"1464,465634",1444000000,"0,000000009",201,19,"0,00011246888",
"0,000000012",28000000,"1074,15392",1345000000,"0,000000038",273,44,"0,06221338974",
"0,000000015",21000000,"1136,366634",2309000000,"0,000000049",82,72,"1,880995248",
"0,000000007",35000000,"1088,804519",2060000000,"0,000000065",35,13,"0,0007692992342",
"0,000000007",37000000,"1184,458237",2419000000,"0,000000086",149,20,"0,001415380814",
"0,000000015",34000000,"1313,019344",2202000000,"0,00000003",276,46,"725,1848572",
"0,00000001",32000000,"1407,74256",1237000000,"0,000000044",225,51,"0,5210662341",
"0,000000008",20000000,"1053,369943",2211000000,"0,000000066",17,26,"1,936715118",
"0,000000001",40000000,"1005,017537",2445000000,"0,000000022",13,62,"0,0001036994577",
"0,000000018",38000000,"1281,923542",1624000000,"0,000000041",-6,80,"0,0009316969491",
"0,00000002",26000000,"1453,665148",1569000000,"0,000000004",244,66,"0,02658001303",
"0,000000007",28000000,"1289,511818",1712000000,"0,000000058",83,85,"106,4341536",
"0,00000002",36000000,"1145,747619",1277000000,"0,000000035",181,98,"1,245139544",
"0,000000005",26000000,"1236,572446",1443000000,"0,000000039",251,25,"16,96643272",
"0,00000001",29000000,"1102,392692",1792000000,"0,000000084",49,87,"0,1845067328",
"0,000000008",40000000,"1266,31457",2461000000,"0,000000052",81,42,"0,0004498941551",
"0,000000002",37000000,"1078,341606",1313000000,"0,000000056",176,23,"0,2535883121",
"0,000000003",34000000,"1073,232789",2419000000,"0,000000099",206,7,"0,1365389022",
"0,000000012",36000000,"1217,122153",1762000000,"0,000000055",243,66,"0,0001308726133",
"0,000000017",21000000,"1309,528559",2022000000,"0,000000099",246,19,"0,002130134848",
"0,000000002",22000000,"1026,426971",1233000000,"0,000000033",236,28,"0,01674444796",
"0,000000006",31000000,"1010,156621",2147000000,"0,000000058",181,59,"0,02979429139",
"0,000000018",33000000,"1036,067526",1682000000,"0,000000054",133,60,"0,0004349844109",
"0,000000018",22000000,"1004,172813",1311000000,"0,000000094",168,65,"2,259922837",
"0,000000011",32000000,"1245,795314",1959000000,"0,000000003",275,60,"27,41638252",
"0,000000008",38000000,"1493,806379",1063000000,"0,000000036",18,26,"0,9704208287",
"0,000000019",27000000,"1106,101769",2007000000,"0,000000051",193,78,"318,5568154",
"0,000000012",23000000,"1444,016439",1887000000,"0,000000052",212,55,"0,6084641392",
"0,000000007",32000000,"1235,910933",1173000000,"0,000000016",164,77,"0,0001042334693",
"0,000000015",35000000,"1462,830436",1448000000,"0,000000072",25,91,"0,003418003736",
"0,00000001",32000000,"1121,256835",1950000000,"0,000000077",253,56,"0,1603440296",
"0,000000008",20000000,"1427,929289",1147000000,"0,000000046",265,80,"0,01644981206",
"0,000000007",24000000,"1358,299246",1810000000,"0,000000035",133,58,"34,68387611",
"0,000000009",32000000,"1446,977115",1833000000,"0,000000049",82,86,"3,006265746",
"0,000000006",24000000,"1372,395922",2165000000,"0,000000089",148,49,"0,1179734489",
"0,000000011",37000000,"1430,143657",2476000000,"0,00000005",274,3,"0,1880664161",
"0,000000011",25000000,"1427,748311",1395000000,"0,000000087",247,10,"0,008909605249",
"0,000000007",27000000,"1212,998666",1644000000,"0,00000005",182,72,"467,214453",
"0,000000014",36000000,"1425,016513",2196000000,"0,000000005",13,39,"0,0001089375782",
"0,00000002",26000000,"1039,144436",1704000000,"0,000000027",4,35,"0,9144570202",
"0,000000018",40000000,"1198,213827",1618000000,"0,00000008",112,41,"0,0001241136184",
"0,00000001",26000000,"1295,084819",2020000000,"0,000000053",166,16,"0,006262998946",
"0,000000001",24000000,"1068,412394",1032000000,"0,000000002",-6,58,"14,01921615",
"0,000000003",37000000,"1068,205791",1167000000,"0,00000009",53,88,"0,08371727342",
"0,000000014",38000000,"1286,89972",1833000000,"0,00000004",273,2,"648,059241",
"0,000000015",34000000,"1263,478865",1252000000,"0,00000001",83,76,"0,009731157134",
"0,000000007",26000000,"1021,317369",2489000000,"0,000000048",0,57,"0,4475645187",
"0,000000006",26000000,"1189,518447",1983000000,"0,000000031",124,85,"0,5882683416",
"0,000000007",33000000,"1467,193775",1510000000,"0,000000093",131,99,"418,1102704",
"0,000000001",23000000,"1491,667542",2495000000,"0,000000085",183,2,"0,2332030012",
"0,000000004",25000000,"1336,6727",2183000000,"0,000000059",123,37,"0,07778296326",
"0,000000011",33000000,"1233,402288",1725000000,"0,000000071",130,54,"8,006352004",
"0,000000011",33000000,"1413,969654",2365000000,"0,000000051",140,29,"174,5900702",
"0,000000006",23000000,"1479,899215",1003000000,"0,000000092",198,87,"0,0006581031581",
"0,000000009",31000000,"1421,305315",2156000000,"0,000000006",239,83,"0,01004620052",
"0,000000005",28000000,"1224,274763",2123000000,"0,000000066",255,21,"0,0006832259355",
"0,000000001",29000000,"1403,223518",1517000000,"0,000000029",238,3,"0,02378701044",
"0,000000011",40000000,"1480,773103",1969000000,"0,000000094",81,72,"0,002939355075",
"0,000000008",23000000,"1075,072804",1531000000,"0,0000001",295,91,"5,569576002",
"0,000000013",21000000,"1295,846532",1494000000,"0,000000067",144,47,"5,224129988",
"0,000000012",30000000,"1152,096003",1102000000,"0,000000071",197,81,"2,097741951",
"0,000000005",39000000,"1251,255775",2160000000,"0,000000013",89,2,"25,26887046",
"0,000000017",22000000,"1458,426069",1244000000,"0,000000011",235,47,"0,03481513275",
"0,000000015",27000000,"1339,441273",2237000000,"0,000000037",17,51,"0,06449884412",
"0,000000019",33000000,"1435,03658",1214000000,"0,000000053",51,43,"12,52185859",
"0,000000002",25000000,"1224,719082",2070000000,"0,000000004",8,14,"0,0006313322356",
"0,000000007",25000000,"1417,360071",1595000000,"0,000000022",92,87,"0,009821824071",
"0,000000019",31000000,"1091,387709",2341000000,"0,000000056",69,73,"0,05322502481",
"0,000000003",36000000,"1327,200167",1992000000,"0,000000038",210,91,"722,2523287",
"0,000000009",40000000,"1256,457326",1950000000,"0,000000079",194,28,"13,22341478",
"0,000000013",27000000,"1130,367421",1788000000,"0,000000022",1,78,"0,007770705375",
"0,000000018",36000000,"1358,107354",1592000000,"0,000000013",223,95,"0,0006333067708",
"0,000000008",39000000,"1407,122191",2444000000,"0,000000024",39,13,"0,0002623436893",
"0,000000004",35000000,"1346,629491",1188000000,"0,000000024",41,41,"1,278732753",
"0,000000011",31000000,"1093,279247",1774000000,"0,000000089",62,1,"0,7316647398",
"0,000000011",27000000,"1210,822549",2392000000,"0,000000057",251,80,"0,002836901684",
"0,000000002",27000000,"1497,300872",1384000000,"0,000000075",-1,69,"0,0005421762764",
"0,000000003",26000000,"1385,685824",1803000000,"0,000000052",125,59,"0,1629456792",
"0,00000002",24000000,"1024,772317",1896000000,"0,000000062",279,29,"0,274564247",
"0,000000002",32000000,"1255,734884",1892000000,"0,000000023",125,25,"2,056185757",
"0,000000011",29000000,"1033,522147",1497000000,"0,000000034",259,40,"0,1517707407",
"0,000000003",26000000,"1499,076148",1964000000,"0,00000003",105,97,"0,04712045396",
"0,000000004",32000000,"1357,840835",1357000000,"0,000000024",289,71,"0,0002526129112",
"0,000000011",28000000,"1000,075122",1015000000,"0,000000042",234,26,"0,0008959210133",
"0,00000001",26000000,"1431,594875",1638000000,"0,000000071",166,93,"0,002698701613",
"0,000000001",28000000,"1490,40075",2383000000,"0,000000003",75,68,"0,0005009079173",
"0,000000011",38000000,"1080,675826",1581000000,"0,00000006",262,53,"0,8590623774",
"0,000000012",21000000,"1389,601296",2290000000,"0,000000084",101,35,"0,0192109118",
"0,000000015",39000000,"1363,62106",2496000000,"0,000000006",291,18,"0,04417094838",
"0,000000011",26000000,"1195,152904",2114000000,"0,000000054",169,40,"200,9595554",
"0,000000014",31000000,"1304,164896",1352000000,"0,000000021",288,85,"94,72656101",
"0,000000019",35000000,"1288,922683",1872000000,"0,000000019",200,38,"179,3912077",
"0,000000005",38000000,"1165,007567",1174000000,"0,000000051",182,1,"0,4130320653",
"0,000000014",36000000,"1260,815271",1870000000,"0,000000008",148,55,"0,001007648167",
"0,000000008",35000000,"1062,61904",2075000000,"0,000000047",221,83,"7,289616073",
"0,000000014",32000000,"1012,452855",1139000000,"0,000000052",258,56,"13,64703115",
"0,000000003",35000000,"1168,133198",1578000000,"0,000000068",193,6,"22,23752103",
"0,000000004",32000000,"1463,310877",1728000000,"0,000000054",242,73,"0,01283535244",
"0,000000009",21000000,"1499,353442",2082000000,"0,00000008",233,92,"0,01459904458",
"0,000000004",25000000,"1490,845951",2209000000,"0,000000023",224,49,"466,4967969",
"0,000000005",26000000,"1098,916756",2303000000,"0,000000071",221,66,"0,0002476302746",
"0,00000001",29000000,"1154,672528",2257000000,"0,000000065",-6,21,"0,02703786987",
"0,000000018",33000000,"1249,39315",1792000000,"0,00000003",13,94,"0,001525471334",
"0,00000002",25000000,"1275,446278",1868000000,"0,000000052",169,20,"0,02964842922",
"0,000000018",30000000,"1278,488915",1392000000,"0,000000062",144,82,"124,995849",
"0,000000006",37000000,"1312,282792",1983000000,"0,00000005",98,88,"159,8968022",
"0,00000002",25000000,"1007,84443",1391000000,"0,000000038",126,32,"262,5092621",
"0,000000006",22000000,"1341,581582",1993000000,"0,000000037",91,89,"0,0003055763519",
"0,000000001",36000000,"1243,752618",1969000000,"0,000000008",97,67,"0,0004071794716",
"0,000000013",25000000,"1426,150079",1823000000,"0,000000021",260,67,"0,3448259219",
"0,000000004",24000000,"1464,366796",1459000000,"0,000000022",110,80,"528,7398013",
"0,000000012",34000000,"1050,456793",1214000000,"0,00000002",19,52,"0,006904807899",
"0,00000002",30000000,"1037,823917",1756000000,"0,000000059",3,85,"230,5105181",
"0,000000008",40000000,"1117,424527",2139000000,"0,00000004",290,54,"0,1397828376",
"0,000000016",28000000,"1491,700677",1675000000,"0,000000073",146,6,"5,109629264",
"0,000000014",26000000,"1168,95529",2301000000,"0,00000004",-6,70,"0,0002117848997",
"0,000000008",26000000,"1324,177009",1508000000,"0,000000022",291,79,"0,2073049137",
"0,000000013",28000000,"1428,720624",1833000000,"0,000000068",-5,51,"108,889869",
"0,000000012",35000000,"1199,349719",1307000000,"0,000000022",6,67,"0,01966401816",
"0,000000002",26000000,"1026,83079",1485000000,"0,000000072",110,52,"0,0004887522975",
"0,000000012",27000000,"1146,774418",1221000000,"0,00000008",33,78,"10,93670963",
"0,000000006",27000000,"1164,802069",2041000000,"0,000000043",174,69,"0,5047223269",
"0,000000004",26000000,"1202,286656",1297000000,"0,000000086",216,52,"114,4726947",
"0,000000012",32000000,"1211,573625",1803000000,"0,000000064",58,64,"15,90830909",
"0,000000014",30000000,"1092,545227",1308000000,"0,000000019",152,54,"0,01903319569",
"0,000000011",30000000,"1490,797184",1859000000,"0,000000027",73,26,"0,005879517131",
"0,00000002",34000000,"1208,945998",2092000000,"0,000000058",174,30,"0,02163546153",
"0,000000012",37000000,"1162,661139",1811000000,"0,000000083",114,78,"2,898598251",
"0,000000011",32000000,"1312,281301",1166000000,"0,00000005",114,98,"0,0002205662849",
"0,000000002",37000000,"1214,351947",1215000000,"0,000000036",245,39,"20,24866606",
"0,000000007",39000000,"1302,78636",1885000000,"0,000000096",0,80,"0,04898530073",
"0,000000002",35000000,"1128,952388",2023000000,"0,000000087",73,98,"1,074455347",
"0,000000012",20000000,"1321,353428",2193000000,"0,000000034",264,46,"1,380278468",
"0,000000003",38000000,"1287,990763",2031000000,"0,000000028",78,59,"0,008010929967",
"0,000000017",28000000,"1077,349857",1102000000,"0,000000047",108,7,"0,4458991335",
"0,000000004",29000000,"1195,66342",1798000000,"0,000000033",159,53,"0,02698182311",
"0,000000008",32000000,"1232,606499",1392000000,"0,000000032",108,6,"0,002193438518",
"0,00000002",28000000,"1068,44322",1050000000,"0,000000065",21,75,"17,98947244",
"0,000000018",24000000,"1086,015381",1799000000,"0,000000004",298,86,"148,8838306",
"0,00000002",40000000,"1470,660076",2444000000,"0,000000007",47,92,"0,0001446013223",
"0,000000019",27000000,"1070,374674",1206000000,"0,000000015",186,25,"0,4065288164",
"0,000000013",37000000,"1260,808803",2355000000,"0,000000063",128,5,"0,0002296321971",
"0,000000015",30000000,"1384,537255",1666000000,"0,00000003",14,13,"0,003360450163",
"0,000000003",20000000,"1043,731003",1832000000,"0,000000055",281,60,"0,5152454031",
"0,000000001",20000000,"1076,764611",2107000000,"0,000000026",103,31,"0,0002171931299",
"0,000000011",31000000,"1257,16928",1902000000,"0,000000058",158,12,"0,003400116466",
"0,000000006",34000000,"1276,980238",2022000000,"0,000000002",89,58,"0,0618473476",
"0,000000017",30000000,"1497,054304",1411000000,"0,00000008",-1,20,"142,3925945",
"0,00000002",20000000,"1449,186925",1349000000,"0,000000076",258,79,"0,0006484344272",
"0,000000002",31000000,"1251,622299",1660000000,"0,000000067",206,77,"0,1466314591",
"0,000000013",29000000,"1223,806311",1049000000,"0,000000091",77,4,"0,002131332525",
"0,000000007",34000000,"1050,2473",1153000000,"0,0000001",215,86,"394,1158395",
"0,000000001",35000000,"1241,572927",2019000000,"0,000000019",229,72,"137,5752883",
"0,000000014",37000000,"1076,697472",2346000000,"0,00000008",193,82,"0,00642699562",
"0,000000011",38000000,"1234,638275",1524000000,"0,000000045",281,33,"0,01114981263",
"0,000000013",37000000,"1369,18929",1139000000,"0,000000099",62,75,"0,007757008887",
"0,000000012",40000000,"1220,795907",1196000000,"0,000000059",86,74,"0,0004500586888",
"0,000000017",25000000,"1159,72997",2063000000,"0,000000057",230,44,"15,63867263",
"0,000000016",20000000,"1447,619807",1540000000,"0,000000056",66,45,"2,163219685",
"0,000000004",39000000,"1154,233177",1225000000,"0,000000099",229,39,"0,0001256433393",
"0,000000018",28000000,"1294,523023",2175000000,"0,000000023",176,18,"0,008556813227",
"0,000000003",38000000,"1342,004685",2189000000,"0,000000081",138,9,"968,4270761",
"0,000000006",29000000,"1492,310957",1579000000,"0,000000004",159,71,"0,9710588551",
"0,000000003",21000000,"1350,472726",2028000000,"0,000000058",109,60,"5,424547873",
"0,000000013",23000000,"1217,056159",1183000000,"0,000000009",71,57,"67,20715957",
"0,000000008",26000000,"1038,347332",1258000000,"0,000000025",122,41,"0,0003354131668",
"0,00000002",31000000,"1143,702743",1326000000,"0,000000045",185,66,"2,56610381",
"0,00000002",33000000,"1190,407679",1257000000,"0,00000008",159,51,"0,0002469971889",
"0,000000003",25000000,"1135,676947",1507000000,"0,000000046",146,81,"0,001853339854",
"0,000000012",28000000,"1340,327128",2198000000,"0,000000052",255,4,"0,0002286610734",
"0,000000006",39000000,"1201,203993",1359000000,"0,000000071",271,54,"612,5237578",
"0,000000015",30000000,"1287,650008",1840000000,"0,000000029",115,45,"0,2088444236",
"0,000000009",33000000,"1161,593232",2274000000,"0,000000059",295,2,"0,06930989283",
"0,000000013",39000000,"1182,349103",1784000000,"0,000000078",153,77,"0,0237929086",
"0,00000001",26000000,"1468,348158",1731000000,"0,000000019",182,35,"62,62742951",
"0,000000014",39000000,"1149,240278",1656000000,"0,000000084",4,25,"0,0003175932813",
"0,000000017",23000000,"1036,791297",1983000000,"0,000000077",83,64,"251,3488854",
"0,000000017",33000000,"1096,652239",1407000000,"0,000000089",271,77,"0,1731600769",
"0,000000014",29000000,"1166,48719",2019000000,"0,000000082",49,38,"0,05990559191",
"0,000000008",23000000,"1263,693882",2206000000,"0,000000043",2,53,"16,16702136",
"0,000000017",36000000,"1120,930289",1517000000,"0,000000086",179,35,"14,81508252",
"0,00000002",30000000,"1380,592813",2300000000,"0,000000056",44,79,"0,002075340193",
"0,000000014",33000000,"1088,884385",1670000000,"0,000000039",284,71,"1,293505466",
"0,000000015",26000000,"1352,072599",1530000000,"0,000000075",-7,9,"0,0002747539264",
"0,000000018",31000000,"1340,872082",1075000000,"0,000000069",5,3,"0,960311044",
"0,000000005",22000000,"1187,581042",2227000000,"0,000000002",264,87,"0,0004272061062",
"0,000000006",25000000,"1290,387304",2352000000,"0,000000083",15,92,"0,6972460345",
"0,000000004",26000000,"1440,177895",1253000000,"0,000000053",32,69,"0,02938458033",
"0,000000007",34000000,"1429,522141",1462000000,"0,000000063",223,87,"0,02691297363",
"0,000000011",21000000,"1131,651798",2295000000,"0,000000085",56,97,"0,01756310781",
"0,00000002",23000000,"1112,256733",1622000000,"0,000000034",157,66,"0,0002094713174",
"0,000000013",30000000,"1121,387972",2250000000,"0,000000045",248,98,"462,4479007",
"0,000000005",22000000,"1230,363704",2185000000,"0,000000077",9,58,"0,007198070364",
"0,000000009",21000000,"1464,888946",2448000000,"0,000000051",293,6,"2,037142466",
"0,000000018",40000000,"1361,746897",2478000000,"0,000000045",154,23,"76,2800471",
"0,000000009",40000000,"1231,711494",1065000000,"0,000000021",33,87,"0,8577556178",
"0,000000001",36000000,"1059,39988",1203000000,"0,000000055",70,68,"0,01442146635",
"0,000000008",33000000,"1246,785891",1012000000,"0,00000004",221,68,"0,02109502084",
"0,000000007",33000000,"1001,676849",2243000000,"0,000000048",277,1,"0,0001925062873",
"0,000000008",38000000,"1151,306694",2443000000,"0,000000061",260,81,"0,3434126558",
"0,000000001",27000000,"1097,17505",1983000000,"0,00000006",102,46,"0,0002772310646",
"0,000000007",29000000,"1175,113192",1622000000,"0,000000094",228,73,"2,324841526",
"0,000000012",24000000,"1256,502429",2397000000,"0,000000022",91,68,"567,5726119",
"0,000000002",27000000,"1080,015089",2033000000,"0,000000057",205,34,"4,851691206",
"0,000000011",25000000,"1030,129246",1756000000,"0,000000089",274,64,"0,04135066044",
"0,000000015",32000000,"1388,977614",1750000000,"0,000000021",159,14,"7,310464487",
"0,000000004",24000000,"1108,292767",1157000000,"0,000000006",177,73,"0,1441876522",
"0,000000009",27000000,"1408,385352",1689000000,"0,000000097",24,15,"135,6614796",
"0,00000002",38000000,"1172,745916",1074000000,"0,000000061",163,27,"0,9090366678",
"0,000000009",38000000,"1086,494934",1664000000,"0,000000046",110,49,"0,1231292194",
"0,000000009",29000000,"1238,534658",2121000000,"0,00000009",280,86,"8,024159511",
"0,000000004",23000000,"1220,213051",1550000000,"0,000000096",115,46,"0,1060525722",
"0,000000015",31000000,"1079,785859",1795000000,"0,000000031",286,80,"0,04890459151",
"0,000000003",21000000,"1221,862312",1569000000,"0,000000075",145,11,"6,888735083",
"0,000000008",35000000,"1069,832955",2329000000,"0,000000017",280,68,"5,33891773",
"0,000000017",35000000,"1017,79816",2044000000,"0,000000055",105,68,"4,277144674",
"0,000000016",33000000,"1201,356796",2182000000,"0,000000044",29,4,"0,3069561726",
"0,000000015",31000000,"1359,604354",1408000000,"0,000000024",175,7,"5,632183208",
